type,sequence,new_name,Detector 1,Detector 2,Detector 3,Detector 4,Detector 5,num_lanes,distance,latitude,longitude,distance_to_prev_mainline,Type,Description,
r,02,r02,S8106.8,,,,,1,,,,,ON,Grafton On,234
s,02,s02,,,,,,0,,,,,,,234
q,02,q02,S8108.5,S8108.6,S8108.7,S8108.8,,4,616.41,-36.86680126,174.7679138,,M,Grafton to Khyberpass,850
r,03,r03,S8108.4,,,,,1,,-36.86756134,174.768692,109.25,ON,Khyberpass On,850
s,03,s03,,,,,,0,,,,,,,850
q,03,q03,S8108.9,S8108.10,S8108.11,S8108.12,8108.13,5,333.24,-36.86899567,174.7704651,,M,Khyberpass to Gillies,1183
r,04,r04,,,,,,0,,,,,,,1183
s,04,s04,S8109.5,S8109.6,,,,2,,-36.87012672,174.7719879,184.84,OFF,Gillies Off,1183
q,04,q04,S8109.19,S8109.20,S8109.21,S8109.22,,4,467.65,-36.87209034,174.774025,,M,NMV,1651
r,05,r05,,,,,,0,,,,,,,1651
s,05,s05,,,,,,0,,,,,,,1651
q,05,q05,S8112.6,S8112.7,S8112.8,S8112.9,,4,952.84,-36.87752533,174.7823067,,M,NMV,2604
r,06,r06,S8112.5,,,,,1,,-36.87756729,174.782486,16.62,ON,St Marks On,2604
s,06,s06,S8602.1,,,,,1,,-36.87956619,174.7844391,295.76,OFF,Market Off,2604
q,06,q06,S8602.3,S8602.4,S8602.5,S8602.6,,4,294.70,-36.879632,174.784317,,M,Market to Greenlane,2898
r,07,r07,,,,,,0,,,,,,,2898
s,07,s07,,,,,,0,,,,,,,2898
q,07,q07,S8602.7,S8602.8,S8602.9,S8602.10,,4,642.75,-36.88410473,174.7888947,,M,Market to Greenlane,3541
r,08,r08,,,,,,0,,,,,,,3541
s,08,s08,S8114.6,,,,,1,,-36.88768768,174.7950745,678.82,OFF,Greenlane Off,3541
q,08,q08,S8114.8,S8114.9,S8114.10,,,3,679.99,-36.88777161,174.7950134,,M,Greenlane Interchange,4221
r,09,r09,,,,,,0,,,,,,,4221
s,09,s09,,,,,,0,,,,,,,4221
q,09,q09,S8114.11,S8114.12,S8114.13,,,3,447.48,-36.89014435,174.7990774,,M,Greenlane Interchange,4669
r,10,r10,S8114.7,,,,,1,,-36.89005661,174.7991638,12.42,ON,Greenlane On,4669
s,10,s10,,,,,,0,,,,,,,4669
q,10,q10,S8603.3,S8603.4,S8603.5,,,3,280.05,-36.89169947,174.8015544,,M,Greenlane to Tecoma,4949
r,11,r11,,,,,,0,,,,,,,4949
s,11,s11,S8603.1,,,,,1,,-36.89492416,174.806366,558.27,OFF,Tecoma Off,4949
q,11,q11,S8603.6,S8603.7,S8603.8,,,3,317.22,-36.89346441,174.8043569,,M,Tecoma Interchange,5266
r,12,r12,,,,,,0,,,,,,,5266
s,12,s12,,,,,,0,,,,,,,5266
q,12,q12,S8603.9,S8603.10,S8603.11,,,3,281.64,-36.89526876,174.8065796,,M,Tecoma interchange,5548
r,13,r13,S8603.2,,,,,1,,-36.89340591,174.8044281,281.98,ON,Tecoma On,5548
s,13,s13,S8118.6,,,,,1,,-36.90179062,174.8104706,803.51,OFF,EP Hwy Off,5548
q,13,q13,S8118.8,S8118.9,S8118.10,,,3,802.90,-36.90184148,174.810318,,M,EP Hwy Interchange,6351
r,14,r14,,,,,,0,,,,,,,6351
s,14,s14,,,,,,0,,,,,,,6351
q,14,q14,S8118.11,S8118.12,S8118.13,,,3,468.70,-36.90501531,174.8137868,,M,EP Hwy Interchange,6819
r,15,r15,S8118.7,,,,,1,,-36.90488052,174.8137207,16.10,ON,EP Hwy On,6819
s,15,s15,,,,,,0,,,,,,,6819
q,15,q15,S8605.4,S8605.5,S8605.6,,,3,765.85,-36.90916824,174.8206584,,M,EP Hwy to SEART,7585
r,15.5,r15.5,,,,,,0,,,,,,,
s,15.5,s15.5,,,,,,0,,,,,,,
q,15.5,q15.5,,,,,,3,600.00,,,,,,
r,16,r16,,,,,,0,,,,,,,7585
s,16,s16,S8119.7,,,,,1,,-36.91617966,174.8322296,1290.80,OFF,SEART Off,7585
q,16,q16,S8119.11,S8119.12,S8119.13,,,3,687.45,-36.91628901,174.832077,,M,SEART to Mt Wellington,8873
r,17,r17,,,,,,0,,,,,,,8873
s,17,s17,S8122.9,,,,,1,,-36.91705322,174.8358459,345.67,OFF,Mt Wellington Off,8873
q,17,q17,S8122.12,S8122.13,S8122.14,,,3,345.08,-36.91718038,174.8357951,,M,Mt Wellington Interchange,9218
r,18,r18,,,,,,0,,,,,,,9218
s,18,s18,,,,,,0,,,,,,,9218
q,18,q18,S8122.15,S8122.16,,,,2,928.56,-36.92107964,174.8450317,,M,Mt Wellington Interchange,10146
r,18.5,r18.5,S8122.11,,,,,1,,-36.92074966,174.8445892,53.79,ON,Mt Wellington On,10146
s,18.5,s18.5,,,,,,0,,,,,,,
q,18.5,q18.5,,,,,,3,800.00,,,,,,
r,19,r19,,,,,,0,,,,,,,
s,19,s19,S8124.4,,,,,1,,-36.93536377,174.852417,1718.64,OFF,Princes Off,10146
q,19,q19,S8124.6,S8124.7,S8124.8,,,3,918.04,-36.93540446,174.8522746,,M,Princes Interchange,11864
r,20,r20,,,,,,0,,,,,,,11864
s,20,s20,,,,,,0,,,,,,,11864
q,20,q20,S8124.9,S8124.10,S8124.11,,,3,689.93,-36.94142914,174.8541311,,M,Princes Interchange,12554
r,21,r21,S8124.5,,,,,1,,-36.94141769,174.8542175,7.78,ON,Princes On,12554
s,21,s21,,,,,,0,,,,,,,12554
q,21,q21,S8607.5,S8607.6,S8607.7,S8607.8,,4,512.87,-36.94587517,174.8556671,,M,Princes to Highbrook,13067
r,22,r22,,,,,,0,,,,,,,13067
s,22,s22,S8126.3,,,,,1,,-36.95005417,174.8580322,510.00,OFF,Highbrook Off,13067
q,22,q22,S8126.5,S8126.6,S8126.7,,,3,578.81,-36.95067596,174.8581848,,M,Highbrook Interchange,13646
r,23,r23,,,,,,0,,,,,,,13646
s,23,s23,,,,,,0,,,,,,,13646
